song,artist,genre,file_size,samples,bit/sampling_rate,bitrate,flac-compression6-bitrate,flac-compression6-filesize,flac-compression6-compression-ratio,flac-compression6-encode-time,flac-compression6-encode-speed,flac-compression6-decode-time,flac-compression6-decode-speed,mp3-cbr320-bitrate,mp3-cbr320-filesize,mp3-cbr320-compression-ratio,mp3-cbr320-encode-time,mp3-cbr320-encode-speed,mp3-cbr320-decode-time,mp3-cbr320-decode-speed,mp3-cbr128-bitrate,mp3-cbr128-filesize,mp3-cbr128-compression-ratio,mp3-cbr128-encode-time,mp3-cbr128-encode-speed,mp3-cbr128-decode-time,mp3-cbr128-decode-speed,aac-cbr256-bitrate,aac-cbr256-filesize,aac-cbr256-compression-ratio,aac-cbr256-encode-time,aac-cbr256-encode-speed,aac-cbr256-decode-time,aac-cbr256-decode-speed,aac-vbrlevel5-bitrate,aac-vbrlevel5-filesize,aac-vbrlevel5-compression-ratio,aac-vbrlevel5-encode-time,aac-vbrlevel5-encode-speed,aac-vbrlevel5-decode-time,aac-vbrlevel5-decode-speed,vorbis-vbrlevel7-bitrate,vorbis-vbrlevel7-filesize,vorbis-vbrlevel7-compression-ratio,vorbis-vbrlevel7-encode-time,vorbis-vbrlevel7-encode-speed,vorbis-vbrlevel7-decode-time,vorbis-vbrlevel7-decode-speed
Arcade Love,Newton ft. KNVWN,Synth-Pop,39467510,6525440,24/48,2304,1939,32958559,16.49192209,0.518926,25.14979014,0.169163,77.14973132,320,5441448,86.2128419,3.744484,3.485361401,0.183146,71.25943237,128,2177256,94.48342193,2.870025,4.547305337,0.129343,100.9013244,256,4379452,88.90365265,2.261402,5.771145511,0.454957,28.68596373,216,3698773,90.62830921,2.257294,5.781648292,0.425612,30.66379707,231,3926088,90.05235446,1.636658,7.974103325,0.325927,40.04234077
Brother Louie,Modern Talking,Dance-pop,85981170,21472000,16/96,3072,1331,37219465,56.71207428,1.159135,37.0483162,0.38134,112.6134158,320,8950248,89.59045568,6.704179,6.405556892,0.271127,158.3907173,128,3580776,95.83539512,4.998416,8.591521794,0.204778,209.7100274,256,7244649,91.57414466,4.502362,9.538104666,1.109335,38.7114803,246,6967206,91.89682346,5.362042,8.008889151,1.179365,36.41281537,231,6450667,92.49758174,4.430762,9.692238039,0.718689,59.75324514
Check the Rhime,A Tribe Called Quest,Hip-hop,38296580,9556176,16/44.1,1411,741,20076692,47.57575742,0.524077,36.46859526,0.187739,101.8027794,320,8671690,77.3564898,5.845908,3.26935559,0.256671,74.46245193,128,3469352,90.94083075,5.22219,3.659834667,0.191541,99.78204144,256,6976224,81.7836893,3.507731,5.44863674,0.666449,28.67789133,230,6263288,83.64530723,3.682059,5.190669677,0.663115,28.82207762,219,5923586,84.53233683,2.42521,7.880699816,0.520055,36.75063599
Dream Walk,Borislav Slavov,Orchestral,62561096,10426835,24/44.1,2117,1314,38849592,37.90135646,0.747238,27.90766797,0.237371,87.85264417,320,9461633,84.87617129,6.062922,3.439541198,0.273825,76.15692504,128,3785329,93.94938829,5.438899,3.834171217,0.205072,101.6895042,256,7611355,87.83372497,4.280206,4.872118305,0.754628,27.63437084,233,6924075,88.93229908,4.40026,4.739190411,0.724327,28.7904082,191,5646557,90.97433172,2.378769,8.76658053,0.48773,42.75658664
Dreams,Fleetwood Mac,Soft Rock,98407916,24576361,16/96,3072,979,31320827,68.1724517,1.296633,37.90796779,0.416779,117.9347376,320,10243368,89.59091055,8.308973,5.915619415,0.309539,158.7933088,128,4098024,95.83567647,6.83047,7.196096608,0.233295,210.6891361,256,8291964,91.57388517,5.545139,8.864109989,1.298321,37.8586821,320,10328246,89.50465936,7.20097,6.825847351,1.490142,32.98526047,231,7382447,92.49811672,5.190419,9.46989482,0.840772,58.46141641
Foreigner,Pallbearer,Metal,130775164,32678100,16/44.1,1411,812,75226592,42.47639254,1.794965,36.41084924,0.62571,104.4512634,320,29643837,77.33221195,17.979652,3.635009176,0.862163,75.8049232,128,11858211,90.93236771,16.722078,3.908377894,0.675145,96.80320524,256,23848655,81.76362065,11.710772,5.580861791,2.298832,28.43017672,219,20388397,84.40958025,12.091508,5.405132263,2.22841,29.32862445,188,17387511,86.70427131,7.820079,8.357485903,1.484162,44.0357589
How Blue Can You Get,B.B. King,Blues,128794840,21456712,24/96,4608,3279,91609307,28.8719121,1.682044,25.51266435,0.482094,89.0146403,320,8943528,6.944011111,7.421976,5.781940551,0.280585,152.9426876,128,3578088,2.778129931,5.277421,8.131514238,0.206236,208.0792102,256,7239831,5.621211999,4.741401,9.05078984,1.146534,37.4288281,477,13401924,10.40563737,7.514307,5.710895762,1.418527,30.25210236,256,7150219,5.551634677,4.753945,9.026907968,1.121494,38.26451501
Iron Man (2014 Remaster),Black Sabbath,Heavy Metal,204706258,34109152,24/96,4608,3205,142338388,30.46700702,2.676541,25.48748702,1.121134,60.84759181,320,14215848,93.0554893,10.659475,6.399780852,0.522738,130.5019034,128,5687016,97.2218651,8.238528,8.280399605,0.360923,189.0106865,256,11507484,94.37853825,7.429924,9.18156148,1.801513,37.86722827,500,22358207,89.07790743,12.172711,5.604199755,2.280843,29.90925022,231,10262236,94.98684794,7.161367,9.525877392,1.166255,58.49347184
La mer II. Jeux de Vagues,Claude Debussy,Classical,70454968,17613540,16/44.1,1411,470,23480338,66.67326852,0.906166,38.87486399,0.29663,118.7576442,320,15979706,77.31926299,11.205042,3.143859702,0.468922,75.12353867,128,6392558,90.92674629,9.602986,3.668346491,0.354099,99.48370371,256,12855424,81.75370117,6.491308,5.426807663,1.222926,28.80556959,222,11161662,84.15773604,7.030206,5.010817606,1.203738,29.26474033,173,8617043,87.76943167,3.874739,9.091471709,0.758661,46.43322907
Pleasure to Kill,Kreator,Thrash Metal,44046312,10995600,16/44.1,1411,1059,33022535,25.02769585,0.628271,35.00272971,0.229466,95.83642021,320,9976768,77.34936809,6.584429,3.339879586,0.293251,74.99104862,128,3991383,90.93821294,5.061848,4.344500269,0.222934,98.64444185,256,8026082,81.77808394,3.781977,5.814736578,0.77243,28.47015264,197,6183756,85.960786,3.790656,5.801423289,0.70768,31.07506217,214,6682477,84.82852094,2.809713,7.826849219,0.558295,39.38992826
